benchmark,fork,ci
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=2,3,"(0.9778939095118152, 1.6352854762409177)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=2,4,"(0.5067895743882416, 0.9135066148429093)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=2,5,"(0.5681652956539401, 0.9142728974912906)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=2,7,"(0.7757100558681028, 1.2119818172479924)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=shortestjHiccupLine&numberOfSignificantValueDigits=2,9,"(0.828294028208478, 1.0929393607363413)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,0,"(0.7904877356815846, 1.1638578593352915)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,2,"(1.0532828207821048, 1.6449365811046908)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,3,"(0.781412272589563, 1.584854710480583)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,5,"(0.7758989145165515, 2.649352663030399)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,6,"(0.6060523091281214, 1.3435149563203113)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,8,"(0.9488757905340091, 2.000715751439059)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=sparsed2&numberOfSignificantValueDigits=2,9,"(0.9776340534205762, 1.4496721823496468)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=3,0,"(1.0758508169326717, 1.38037017585507)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=3,2,"(1.0008965537630299, 1.357911188982816)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=3,3,"(1.1445344124646937, 1.6529726819009467)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=3,4,"(1.997696467133913, 12.960035272260324)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=3,5,"(1.0951110298358828, 1.4906612602625178)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=3,6,"(0.823660595724247, 1.1709900630130086)"
